date,open,high,low,close,volume
2020-04-28 13:45:00,107.4,107.55,107.185,107.48,287465
2020-04-28 14:00:00,107.48,107.48,106.9657,106.99,327587
2020-04-28 14:15:00,106.989,107.3523,106.9853,107.315,294950
2020-04-28 14:30:00,107.315,107.72,107.162,107.65,267177
2020-04-28 14:45:00,107.64,107.68,107.27,107.33,264880
2020-04-28 15:00:00,107.3231,107.7143,106.54,106.675,779190
2020-04-28 15:15:00,106.68,107.08,106.67,106.95,385369
2020-04-28 15:30:00,106.94,107.25,106.61,106.95,333288
2020-04-28 15:45:00,106.9,107.06,106.5702,106.5702,351217
2020-04-28 16:00:00,106.58,106.61,105.98,106.24,1066833
2020-04-28 16:15:00,106.21,106.49,106.21,106.49,96454
2020-04-28 16:30:00,106.21,106.49,106.21,106.49,201437
2020-04-28 16:45:00,106.52,106.52,106.52,106.52,184
2020-04-28 17:00:00,106.31,106.43,106.31,106.31,13808
2020-04-28 17:15:00,106.39,106.39,106.3,106.3,856
2020-04-28 17:30:00,106.43,106.5,106.43,106.5,966
2020-04-28 17:45:00,106.66,106.66,106.5,106.5,670
2020-04-28 18:00:00,106.8,106.8,106.76,106.76,387
2020-04-28 18:15:00,106.5,106.61,106.5,106.5,989
2020-04-28 18:30:00,106.6,106.8,106.6,106.8,1492
2020-04-28 18:45:00,106.8,106.8,106.68,106.7,3197
2020-04-28 19:15:00,106.45,106.55,106.45,106.45,1883
2020-04-28 19:30:00,106.43,106.43,106.43,106.43,300
2020-04-28 19:45:00,106.7,106.7,106.7,106.7,869
2020-04-28 20:00:00,107.0,107.0,106.85,106.85,966
2020-04-29 04:30:00,107.64,107.64,107.64,107.64,198
2020-04-29 05:00:00,107.84,107.84,107.84,107.84,200
2020-04-29 06:00:00,108.17,108.17,107.97,107.97,405
2020-04-29 06:15:00,107.81,107.81,107.81,107.81,301
2020-04-29 06:45:00,107.66,107.75,107.65,107.65,733
2020-04-29 07:00:00,107.47,107.47,107.47,107.47,207
2020-04-29 07:15:00,107.18,107.46,107.18,107.46,679
2020-04-29 07:30:00,107.42,107.46,107.3,107.3,1128
2020-04-29 07:45:00,107.46,107.46,107.46,107.46,400
2020-04-29 08:00:00,107.12,107.12,107.12,107.12,444
2020-04-29 08:15:00,107.2501,107.49,107.0,107.2,8946
2020-04-29 08:30:00,107.2,107.88,107.2,107.88,11350
2020-04-29 08:45:00,107.84,108.99,107.84,108.6,39147
2020-04-29 09:00:00,108.62,109.3999,108.62,109.3,38860
2020-04-29 09:15:00,109.3,109.4,108.6,108.83,31761
2020-04-29 09:30:00,109.25,109.91,108.7,109.9,34148
2020-04-29 09:45:00,109.94,110.43,108.64,108.73,2022828
2020-04-29 10:00:00,108.73,110.85,108.56,110.76,1398347
2020-04-29 10:15:00,110.77,110.82,109.77,109.9,847458
2020-04-29 10:30:00,109.935,110.66,109.93,110.35,523445
2020-04-29 10:45:00,110.35,111.0,110.32,110.7849,704983
2020-04-29 11:00:00,110.785,110.81,110.49,110.64,452875
2020-04-29 11:15:00,110.645,110.91,110.36,110.8299,476311
2020-04-29 11:30:00,110.81,111.58,110.8,111.19,742767
2020-04-29 11:45:00,111.1785,111.49,110.88,110.925,516171
2020-04-29 12:00:00,110.91,111.52,110.896,111.27,398000
2020-04-29 12:15:00,111.2637,111.68,111.13,111.21,613918
2020-04-29 12:30:00,111.21,111.21,110.4,110.41,761393
2020-04-29 12:45:00,110.43,111.56,110.41,111.51,521479
2020-04-29 13:00:00,111.53,111.69,111.16,111.355,721109
2020-04-29 13:15:00,111.37,111.88,111.3401,111.84,591140
2020-04-29 13:30:00,111.84,111.9,111.62,111.72,501649
2020-04-29 13:45:00,111.73,111.8,111.02,111.05,452966
2020-04-29 14:00:00,111.07,111.2797,110.751,110.92,315807
2020-04-29 14:15:00,110.8701,111.12,110.41,110.99,446239
2020-04-29 14:30:00,111.06,111.5,111.01,111.46,330427
2020-04-29 14:45:00,111.48,111.8501,111.32,111.8215,463421
2020-04-29 15:00:00,111.84,111.85,111.43,111.815,480544
2020-04-29 15:15:00,111.81,112.0,111.74,111.97,485159
2020-04-29 15:30:00,111.97,112.0,111.515,111.8873,556579
2020-04-29 15:45:00,111.87,112.5,111.68,112.485,913594
2020-04-29 16:00:00,112.48,112.7,112.11,112.31,2434889
2020-04-29 16:15:00,112.25,112.62,111.0673,112.4202,209772
2020-04-29 16:30:00,112.25,112.99,112.25,112.98,24432
