date,open,high,low,close,volume
2020-04-27 04:15:00,73.6735398182,73.6735398182,73.2014588124,73.2978018748,554
2020-04-27 05:30:00,73.5579281433,73.5579281433,73.5001223059,73.5001223059,200
2020-04-27 05:45:00,73.6157339807,73.866225943,73.6157339807,73.866225943,763
2020-04-27 06:45:00,73.6060996745,73.7024427369,73.5482938371,73.5482938371,675
2020-04-27 07:15:00,73.5001223059,73.5001223059,73.4615850809,73.4904879996,3869
2020-04-27 07:30:00,73.5097566121,73.5482938371,73.5097566121,73.5482938371,2382
2020-04-27 07:45:00,73.4134135497,73.5097566121,73.4134135497,73.5097566121,5979
2020-04-27 08:00:00,73.5097566121,73.6060996745,73.5097566121,73.6060996745,1895
2020-04-27 08:15:00,73.5097566121,73.7024427369,73.3748763247,73.7024427369,6177
2020-04-27 08:30:00,73.6831741244,73.7024427369,73.6542712057,73.7024427369,3873
2020-04-27 08:45:00,73.6542712057,73.7506142681,73.6542712057,73.7506142681,3589
2020-04-27 09:00:00,73.7023463938,73.7987857993,73.6639055119,73.7987857993,3651
2020-04-27 09:15:00,73.9332807144,73.9433003929,73.7987857993,73.7987857993,6014
2020-04-27 09:30:00,73.9240317804,73.9240317804,73.6542712057,73.7891514931,3006
2020-04-27 09:45:00,73.8758602492,74.3672098675,73.7506142681,74.0781806803,862627
2020-04-27 10:00:00,74.068546374,74.2515981926,73.9336660867,74.1600722833,420135
2020-04-27 10:15:00,74.1745237427,74.9067310169,74.0974492927,74.8525862158,508134
2020-04-27 10:30:00,74.8489251795,75.1379543667,74.2612324988,74.4539186236,437597
2020-04-27 10:45:00,74.4731872361,74.6658733609,74.2805011113,74.6523853322,215209
2020-04-27 11:00:00,74.6658733609,74.7622164233,74.3864784799,74.7622164233,368278
2020-04-27 11:15:00,74.7622164233,75.0030740793,74.588798911,74.627336136,375072
2020-04-27 11:30:00,74.6177018297,74.8585594857,74.4925521917,74.8392908732,237405
2020-04-27 11:45:00,74.829656567,75.031976998,74.7333135046,74.9838054668,211377
2020-04-27 12:00:00,74.99334343,75.0994171417,74.8200222608,75.0512456105,223534
2020-04-27 12:15:00,75.0608799168,75.0897828355,74.7670335764,75.0895901494,235997
2020-04-27 12:30:00,75.0883376895,75.1331372136,74.886788003,74.9645368544,200650
2020-04-27 12:45:00,74.9566367232,75.1283200604,74.868193792,74.9693540075,135806
2020-04-27 13:00:00,74.9693540075,75.1475886729,74.9163653232,75.0994171417,170220
2020-04-27 13:15:00,75.0994171417,75.109051448,74.695354338,74.7624091094,154888
2020-04-27 13:30:00,74.7622164233,74.7814850358,74.4924558486,74.5791646048,177306
2020-04-27 13:45:00,74.588798911,74.5984332172,74.4057470924,74.4153813987,136953
2020-04-27 14:00:00,74.4057470924,74.5791646048,74.347941255,74.5117244611,142174
2020-04-27 14:15:00,74.5309930736,74.709227739,74.5309930736,74.5454445329,159234
2020-04-27 14:30:00,74.5408200659,74.6177018297,74.4253047341,74.4780043892,159267
2020-04-27 14:45:00,74.4828215424,74.7381306577,74.4346500112,74.6466047484,146195
2020-04-27 15:00:00,74.6562390547,74.8007536483,74.5945794947,74.627336136,152358
2020-04-27 15:15:00,74.627336136,74.8489251795,74.5984332172,74.791119342,188074
2020-04-27 15:30:00,74.7814850358,74.9549025481,74.7525821171,74.8344737201,222508
2020-04-27 15:45:00,74.8392908732,75.1861258979,74.8392908732,75.1283200604,458036
2020-04-27 16:00:00,75.1331372136,75.1379543667,74.8779244413,74.9067310169,767386
2020-04-27 16:15:00,74.8970967107,75.0030740793,74.6755076672,74.6755076672,221741
2020-04-27 16:45:00,74.7622164233,74.8970967107,74.7622164233,74.7623127664,14541
2020-04-27 17:15:00,74.8103879545,74.8585594857,74.8103879545,74.8585594857,1006
2020-04-27 17:30:00,74.8103879545,74.8103879545,74.6466047484,74.6466047484,6118
2020-04-27 17:45:00,74.6466047484,74.7814850358,74.6466047484,74.7429478108,714
2020-04-27 18:00:00,74.6466047484,74.7622164233,74.3768441737,74.5695302985,9214
2020-04-27 18:15:00,74.5695302985,74.6562390547,74.5695302985,74.5791646048,2394
2020-04-27 18:30:00,74.5791646048,74.6080675235,74.5213587673,74.5695302985,3653
2020-04-27 18:45:00,74.6080675235,74.6562390547,74.5791646048,74.6177018297,1535
2020-04-27 19:00:00,74.6177018297,74.6658733609,74.6177018297,74.6658733609,789
2020-04-27 19:15:00,74.6177018297,74.6177018297,74.6177018297,74.6177018297,225
2020-04-27 19:30:00,74.7622164233,74.7622164233,74.6755076672,74.7429478108,1730
2020-04-27 19:45:00,74.7622164233,74.8874624044,74.7140448921,74.8874624044,1900
2020-04-27 20:00:00,74.8103879545,74.8874624044,74.8103879545,74.8874624044,1222
2020-04-28 05:30:00,75.1379543667,75.7063784348,75.1379543667,75.7063784348,1114
2020-04-28 06:15:00,75.7256470473,75.7256470473,75.7256470473,75.7256470473,593
2020-04-28 07:00:00,75.6967441286,75.6967441286,75.6967441286,75.6967441286,100
2020-04-28 07:15:00,75.349909104,75.7256470473,75.2439317353,75.7256470473,5171
2020-04-28 07:30:00,75.4944236976,75.7738185785,75.4944236976,75.7738185785,962
2020-04-28 07:45:00,75.5040580038,75.7256470473,75.5040580038,75.7256470473,929
2020-04-28 08:00:00,75.793087191,75.8219901097,75.6582069036,75.6582069036,7692
2020-04-28 08:15:00,75.7256470473,75.9183331721,75.2439317353,75.8701616409,15981
