date,open,high,low,close,volume,std,MA,BOLU,BOLD
2020-03-09 04:15:00,130.934,130.934,125.0,126.256,174460,,,,
2020-03-09 04:30:00,126.664,127.4,125.204,125.502,72830,,,,
2020-03-09 04:45:00,125.204,125.204,122.612,123.0,131025,,,,
2020-03-09 05:00:00,123.0,124.8,123.0,124.6,206045,,,,
2020-03-09 05:15:00,125.2,125.3,123.62,125.0,82010,,,,
2020-03-09 05:30:00,125.0,126.274,124.6,126.152,56845,,,,
2020-03-09 05:45:00,125.7,126.5,125.434,126.5,19115,,,,
2020-03-09 06:00:00,126.524,126.7,125.83,126.21,34030,,,,
2020-03-09 06:15:00,126.064,126.35,125.242,126.35,72450,,,,
2020-03-09 06:30:00,126.062,126.062,125.27,125.6,34730,,,,
2020-03-09 06:45:00,125.442,126.2,125.442,126.2,9450,,,,
2020-03-09 07:00:00,125.8,125.8,124.39,124.4,58490,1.0548087145271516,125.48083333333334,126.74660379076592,124.21506287590076
2020-03-09 07:15:00,124.4,125.798,123.642,123.998,311150,1.104201343080421,125.29266666666666,126.61770827836317,123.96762505497016
2020-03-09 07:30:00,123.828,124.8,123.422,123.8,204655,1.1814744127059162,125.15083333333332,126.56860262858042,123.73306403808623
2020-03-09 07:45:00,123.722,123.796,122.8,123.242,278230,1.1428584577914513,125.17099999999999,126.54243014934974,123.79956985065024
2020-03-09 08:00:00,123.4,123.802,123.0,123.296,100625,1.2582550206415615,125.06233333333334,126.57223935810322,123.55242730856347
2020-03-09 08:15:00,123.288,126.0,120.9,121.4,540290,1.6443861155366462,124.76233333333334,126.73559667197732,122.78906999468937
2020-03-09 08:30:00,121.318,121.546,120.04,120.6,474910,1.9672126720234688,124.29966666666667,126.66032187309483,121.9390114602385
2020-03-09 08:45:00,120.624,121.222,120.176,121.096,287920,2.0350920163844055,123.84933333333333,126.29144375299462,121.40722291367204
2020-03-09 09:00:00,121.15,122.0,120.888,121.766,311380,1.9697568839372601,123.479,125.8427082607247,121.11529173927529
2020-03-09 09:15:00,121.918,121.93,120.664,120.664,313260,1.898964590283762,123.00516666666668,125.2839241750072,120.72640915832616
2020-03-09 09:30:00,120.622,121.598,120.0,121.2,577550,1.7730011793053777,122.63850000000001,124.76610141516646,120.51089858483355
2020-03-09 09:45:00,121.078,125.0,121.0,123.79998,3636380,1.4385475800380814,122.43849833333336,124.16475542937906,120.71224123728766
2020-03-09 10:00:00,123.452,127.166,121.403,125.681,5749275,1.631875442560925,122.54524833333333,124.50349886440644,120.58699780226023
2020-03-09 10:15:00,125.703,131.376,125.2,130.488,6353880,2.808428877510236,123.08608166666666,126.45619631967894,119.71596701365438
2020-03-09 10:30:00,130.42,132.5996,127.406,127.83,4990020,3.1247061504564027,123.421915,127.17156238054768,119.67226761945231
2020-03-09 10:45:00,127.72,129.6,127.0,127.04,4548320,3.2926609362710786,123.73841500000002,127.68960812352532,119.78722187647472
